timestamp,BTC: Price,timestamp,BTC: aSOPR,timestamp,Signal Reached,timestamp,MVRV - 1,timestamp,All-time-Average,timestamp,Extreme Upside Deviation μ + 1σ,timestamp,Extreme Downside Deviation μ - 1σ,timestamp,-
,,2009-02-07T00:00:00.000Z,1,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,0.4
,,2009-02-08T00:00:00.000Z,1,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,0.4
,,2009-02-09T00:00:00.000Z,1,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,0.4
,,2009-02-11T00:00:00.000Z,1,2009-02-11T00:00:00.000Z,0,2009-02-11T00:00:00.000Z,0,2009-02-11T00:00:00.000Z,0,2009-02-11T00:00:00.000Z,0,2009-02-11T00:00:00.000Z,0,2009-02-11T00:00:00.000Z,0.4
,,2009-02-15T00:00:00.000Z,1,2009-02-15T00:00:00.000Z,0,2009-02-15T00:00:00.000Z,0,2009-02-15T00:00:00.000Z,0,2009-02-15T00:00:00.000Z,0,2009-02-15T00:00:00.000Z,0,2009-02-15T00:00:00.000Z,0.4
,,2009-02-16T00:00:00.000Z,1,2009-02-16T00:00:00.000Z,0,2009-02-16T00:00:00.000Z,0,2009-02-16T00:00:00.000Z,0,2009-02-16T00:00:00.000Z,0,2009-02-16T00:00:00.000Z,0,2009-02-16T00:00:00.000Z,0.4
,,2009-02-19T00:00:00.000Z,1,2009-02-19T00:00:00.000Z,0,2009-02-19T00:00:00.000Z,0,2009-02-19T00:00:00.000Z,0,2009-02-19T00:00:00.000Z,0,2009-02-19T00:00:00.000Z,0,2009-02-19T00:00:00.000Z,0.4
,,2009-02-22T00:00:00.000Z,1,2009-02-22T00:00:00.000Z,0,2009-02-22T00:00:00.000Z,0,2009-02-22T00:00:00.000Z,0,2009-02-22T00:00:00.000Z,0,2009-02-22T00:00:00.000Z,0,2009-02-22T00:00:00.000Z,0.4
,,2009-02-27T00:00:00.000Z,1,2009-02-27T00:00:00.000Z,0,2009-02-27T00:00:00.000Z,0,2009-02-27T00:00:00.000Z,0,2009-02-27T00:00:00.000Z,0,2009-02-27T00:00:00.000Z,0,2009-02-27T00:00:00.000Z,0.4
,,2009-02-28T00:00:00.000Z,1,2009-02-28T00:00:00.000Z,0,2009-02-28T00:00:00.000Z,0,2009-02-28T00:00:00.000Z,0,2009-02-28T00:00:00.000Z,0,2009-02-28T00:00:00.000Z,0,2009-02-28T00:00:00.000Z,0.4
,,2009-03-03T00:00:00.000Z,1,2009-03-03T00:00:00.000Z,0,2009-03-03T00:00:00.000Z,0,2009-03-03T00:00:00.000Z,0,2009-03-03T00:00:00.000Z,0,2009-03-03T00:00:00.000Z,0,2009-03-03T00:00:00.000Z,0.4
,,2009-03-04T00:00:00.000Z,1,2009-03-04T00:00:00.000Z,0,2009-03-04T00:00:00.000Z,0,2009-03-04T00:00:00.000Z,0,2009-03-04T00:00:00.000Z,0,2009-03-04T00:00:00.000Z,0,2009-03-04T00:00:00.000Z,0.4
,,2009-03-05T00:00:00.000Z,1,2009-03-05T00:00:00.000Z,0,2009-03-05T00:00:00.000Z,0,2009-03-05T00:00:00.000Z,0,2009-03-05T00:00:00.000Z,0,2009-03-05T00:00:00.000Z,0,2009-03-05T00:00:00.000Z,0.4
,,2009-03-08T00:00:00.000Z,1,2009-03-08T00:00:00.000Z,0,2009-03-08T00:00:00.000Z,0,2009-03-08T00:00:00.000Z,0,2009-03-08T00:00:00.000Z,0,2009-03-08T00:00:00.000Z,0,2009-03-08T00:00:00.000Z,0.4
,,2009-03-12T00:00:00.000Z,1,2009-03-12T00:00:00.000Z,0,2009-03-12T00:00:00.000Z,0,2009-03-12T00:00:00.000Z,0,2009-03-12T00:00:00.000Z,0,2009-03-12T00:00:00.000Z,0,2009-03-12T00:00:00.000Z,0.4
,,2009-03-13T00:00:00.000Z,1,2009-03-13T00:00:00.000Z,0,2009-03-13T00:00:00.000Z,0,2009-03-13T00:00:00.000Z,0,2009-03-13T00:00:00.000Z,0,2009-03-13T00:00:00.000Z,0,2009-03-13T00:00:00.000Z,0.4
,,2009-03-16T00:00:00.000Z,1,2009-03-16T00:00:00.000Z,0,2009-03-16T00:00:00.000Z,0,2009-03-16T00:00:00.000Z,0,2009-03-16T00:00:00.000Z,0,2009-03-16T00:00:00.000Z,0,2009-03-16T00:00:00.000Z,0.4
